segment_id,language,language_code,channel,style,emotion_tag,duration_s,mean_dbfs,qc_status,transcript
en_01_seg000,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-16.9,passed,"The more I read and travel, the more I realized that the world is changing all the time, and everything around us is recent. 
We look at Falana and we look at Dimkana, and it feels like they've been around forever, but no, both Falana and Dimkana were born yesterday. 
Both Falana and Dimkana did not exist two days ago. 
In fact, they would have seemed real."
en_01_seg001,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-16.7,passed,"radical, even ridiculous as a conception. Look at law firms for example. The landscape of law in India today, especially corporate law, is centuries removed from how it looked 30 years ago. Today's episode is about the one firm that changed everything. It was founded 26 years ago, adopting a partnership model that was new to India and would have felt so out of place. Today, Trilegal is perhaps the biggest law firm in the country."
en_01_seg002,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-17.8,passed,"And this episode is not just about law, it's about appending the status quo, it's about leadership and trust. 
It's about companies and people and ecosystems, it's about a changing India. 
And my guest today is one of the founders of this firm, a fine lawyer, a good human being, a clear thinker, India's best Jaitley. 

Welcome to the scene and the unseen, our weekly podcast on economics, politics."
en_01_seg003,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,formal,25.0,-17.5,passed,"and behavioral science. Please welcome your host, Amit Varma. 

Welcome to the scene and the unseen. My guest today is Akshay Jaitley, a founder of Tri Legal, who now also runs Trustpage, which he talks about in this episode. Akshay's been on the show before to discuss his life and to discuss his ideas around policy. I invited him back now to discuss his new ."
en_01_seg004,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.22,-16.7,passed,"an excellent book, Trilegal, which chronicles how this extraordinary firm was set up and how it succeeded. In the space of 2 and a half decades, Trilegal disrupted and then dominated the Indian legal space. And I've found the story of how it happened to be super insightful, not just for those interested in law, but for anyone interested in how companies work and how incentives can be aligned through designing structure."
en_01_seg005,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-19.6,passed,"Much fun came, you must buy the book, you must listen to this episode, but first, I must take a commercial break. Have you always wanted to be a writer but never quite gotten down to it? Well, I'd love to help you. Since April 2020, I've enjoyed teaching 27 cohorts of my online course, the art of clear writing, and an online community has now sprung up of all my past students."
en_01_seg006,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-21.3,passed,"We have workshops and newsletter to showcase the work of students and vibrant community interaction. In the course itself, through 4 webinars spread over 4 weekends, I share all I know about the craft and practice of clear writing. There are many exercises, much interaction, and a lovely and lively community at the end of it. The course costs ₹10000 plus GST or about $150. If you're interested, head on over to register at indiauncut.com/clear."
en_01_seg007,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-20.6,passed,"writing. That's India uncut.com/clear writing. Being a good writer doesn't require God given talent, just a willingness to work hard and a clear idea of what you need to do to refine your skills. I can help you. 
Akshay, welcome back to the scene and the unseen. Thanks Amit, good to be back. 
So I think we last recorded in 2022 if memory serves me right."
en_01_seg008,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-17.3,passed,"So it's like 3 and a half years at least. What have you been up to in the meantime? Oh, uh, I've been up to quite a lot. It feels like I've started a new career almost. Uh, rejoined Trilegal, which is the firm that I helped to start in the year 2000. Uh, we started an organization called Trustbridge along with Karan Singh, who was one of the founders of Trilegal as well. We co-founded it."
en_01_seg009,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.1,passed,"and a common friend Renuka Sane came on to lead the organization and Trustbridge works on rule of law as it relates to the economy. The idea being that economic reform is all well and good, but you have to do it in accordance with the principles of the rule of law. Otherwise, you know, you're trying to fix the symptoms of problems and not going to root causes. And the idea is how do you, how do you show through evidence"
en_01_seg010,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,motivational,25.0,-17.0,passed,"through interdisciplinary research with law economics and data that doing the right thing in terms of rule of law is also good for the economy. And sometimes you have to encourage people to take a slightly medium term, longer term view, but sometimes you can almost show that, you know, results can be pretty immediate. So our focus is trying to work with the regulatory state since about 75% of the economy is under some regulation."
en_01_seg011,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,formal,25.0,-17.4,passed,"regulator or the other. And the and regulators function in a very different way compared to many other kinds of organizations. So, you know, that's that's the focus of what Trustbridge is doing. We've grown to about 25 people. And I'm also doing sort of lots of policy work on my own as well. Let's double click on that a bit. Like when you talk about the principles of the rule of law, like this was something that I was going to explore anyway while talking about a journey as a lawyer, my memory is so poor."
en_01_seg012,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-16.8,passed,"Sure, I've forgotten if we brought it up in our last episode, but the question that often intrigues me is that at one level when you're a lawyer, what you're really engaged with is understanding the law and figuring out how to navigate it on behalf of your clients and how to optimize for the client according to what the law is. But at another level, there's perhaps a part of your brain which is thinking, which is asking the normative question, what should the law be? And, you know, getting a little meta and all of that. And I wondered,"
en_01_seg013,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.2,passed,"that as you, as one progresses down one's journey as a lawyer, do you sort of lose sight of the bigger questions? And in this case, it would seem that your founding perspirage is actually centered around the bigger questions. What should the law be like? Like, where is our law and where is our policy ecosystem deviating from what you call the principles of the rule of law? So just elaborate on that for me. How do you understand the rule of law?"
en_01_seg014,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-17.4,passed,"So Flog, what do you mean by the principles of the rule of? I think that actually it's I've seen this happen in the reverse way with many people, which is that when you're younger, you're dealing with the tools of the trade, which is the law, and as you said, you're fashioning solutions for clients around what the law is because that's what those are the cards that you've been dealt. But for me in particular, and I think for many people, if you work in a field of law where they"
en_01_seg015,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,formal,25.0,-17.3,passed,There is a lot of policy implication and energy and infrastructure. My area of practice is full of policy. You sort of realize that what you're doing very often is the quote unquote law that you're structuring around or you're helping your clients work with isn't the optimal version of itself and it could be a lot better and I would much rather not be charging clients.
